{4.342503, 8.012279, 12.354782, 4.816577, 8.670306, 13.486883, -0.474074, -0.658028, -1.132102}
{4.445829, 8.468493, 12.914322, 4.961846, 9.227430, 14.189276, -0.516017, -0.758937, -1.274954}
{4.540771, 8.926804, 13.467575, 5.096663, 9.795006, 14.891669, -0.555892, -0.868202, -1.424094}
{4.628010, 9.387063, 14.015072, 5.221027, 10.373035, 15.594062, -0.593017, -0.985972, -1.578989}
{4.708188, 9.849132, 14.557321, 5.334939, 10.961516, 16.296454, -0.626750, -1.112383, -1.739133}
{4.781911, 10.312888, 15.094799, 5.438398, 11.560449, 16.998847, -0.656487, -1.247561, -1.904048}
{4.849740, 10.778214, 15.627954, 5.531405, 12.169835, 17.701240, -0.681665, -1.391621, -2.073286}
{4.912194, 11.245005, 16.157200, 5.613959, 12.789673, 18.403632, -0.701765, -1.544668, -2.246433}
{4.969750, 11.713166, 16.682916, 5.686061, 13.419964, 19.106025, -0.716312, -1.706798, -2.423110}
{5.022844, 12.182606, 17.205449, 5.747711, 14.060707, 19.808418, -0.724867, -1.878101, -2.602968}
{5.071874, 12.653244, 17.725117, 5.798908, 14.711903, 20.510811, -0.727034, -2.058659, -2.785693}
{5.117201, 13.125004, 18.242205, 5.839653, 15.373551, 21.213203, -0.722451, -2.248547, -2.970998}
{0.051912, 0.090235, 0.142147, 0.070527, 0.070895, 0.141421, -0.018615, 0.019340, 0.000725}
{0.396789, 0.447794, 0.844584, 0.415363, 0.428451, 0.843814, -0.018573, 0.019343, 0.000769}
{0.732207, 0.813978, 1.546185, 0.751130, 0.795077, 1.546207, -0.018923, 0.018901, -0.000022}
{1.057452, 1.188072, 2.245524, 1.077827, 1.170772, 2.248600, -0.020375, 0.017300, -0.003075}
{1.372023, 1.569564, 2.941587, 1.395456, 1.555536, 2.950992, -0.023433, 0.014028, -0.009405}
{1.675456, 1.957970, 3.633426, 1.704016, 1.949369, 3.653385, -0.028560, 0.008601, -0.019959}
{1.967332, 2.352828, 4.320161, 2.003507, 2.352271, 4.355778, -0.036174, 0.000557, -0.035617}
{2.247291, 2.753700, 5.000991, 2.293928, 2.764242, 5.058171, -0.046637, -0.010543, -0.057179}
{2.515039, 3.160171, 5.675209, 2.575281, 3.185282, 5.760563, -0.060242, -0.025111, -0.085354}
{2.770356, 3.571854, 6.342211, 2.847564, 3.615392, 6.462956, -0.077208, -0.043537, -0.120745}
{3.013113, 3.988386, 7.001499, 3.110779, 4.054570, 7.165349, -0.097666, -0.066184, -0.163849}
{3.243267, 4.409428, 7.652695, 3.364924, 4.502817, 7.867741, -0.121658, -0.093389, -0.215046}
{3.460869, 4.834665, 8.295534, 3.610001, 4.960133, 8.570134, -0.149132, -0.125468, -0.274600}
{3.666062, 5.263804, 8.929866, 3.846008, 5.426519, 9.272527, -0.179947, -0.162714, -0.342661}
{3.859075, 5.696575, 9.555650, 4.072947, 5.901973, 9.974920, -0.213872, -0.205398, -0.419270}
{4.040218, 6.132727, 10.172944, 4.290816, 6.386496, 10.677312, -0.250598, -0.253770, -0.504368}
{4.209870, 6.572027, 10.781897, 4.499616, 6.880089, 11.379705, -0.289746, -0.308062, -0.597808}
{4.368472, 7.014261, 11.382733, 4.699348, 7.382750, 12.082098, -0.330876, -0.368489, -0.699365}
{4.516507, 7.459232, 11.975739, 4.890010, 7.894481, 12.784491, -0.373503, -0.435249, -0.808752}
{4.654496, 7.906756, 12.561252, 5.071603, 8.415280, 13.486883, -0.417107, -0.508524, -0.925631}
