layers,units,total_neurons,mse,complexity,expr0,expr1,expr2
3,"[8, 3, 2]",13,inf,inf,,,
3,"[8, 4, 2]",14,inf,inf,,,
2,"[2, 3]",5,inf,inf,,,
2,"[2, 2]",4,inf,inf,,,
2,"[2, 2]",4,inf,inf,,,
1,[3],3,inf,inf,,,
1,[7],7,inf,inf,,,
3,"[3, 8, 3]",14,inf,inf,,,
2,"[2, 2]",4,inf,inf,,,
2,"[2, 6]",8,inf,inf,,,
3,"[3, 4, 7]",14,inf,inf,,,
1,[5],5,inf,inf,,,
1,[2],2,inf,inf,,,
2,"[4, 3]",7,inf,inf,,,
1,[5],5,inf,inf,,,
2,"[3, 4]",7,inf,inf,,,
