dJMM,dJXX,FreqSym,FreqAnti
-0.1,-0.1,6.059981190431557,11.598790796105568
-0.1,-0.095,6.059976463745077,11.596374266800106
-0.1,-0.09,6.059975862479057,11.593955676102116
-0.1,-0.08499999999999999,6.0599793866347405,11.59153502384793
-0.1,-0.07999999999999999,6.059987036204932,11.58911230987809
-0.1,-0.07499999999999998,6.05999881117398,11.586687534037333
-0.1,-0.06999999999999998,6.060014711517864,11.584260696174582
-0.1,-0.06499999999999997,6.060034737204099,11.58183179614297
-0.1,-0.05999999999999997,6.060058888191792,11.579400833799795
-0.1,-0.054999999999999966,6.06008716443162,11.576967809006595
-0.1,-0.04999999999999996,6.060119565865847,11.574532721629076
-0.1,-0.04499999999999996,6.060156092428294,11.57209557153715
-0.1,-0.03999999999999995,6.060196744044376,11.569656358604941
-0.1,-0.03499999999999995,6.060241520631081,11.567215082710772
-0.1,-0.029999999999999943,6.06029042209698,11.564771743737166
-0.1,-0.02499999999999994,6.060343448342206,11.562326341570861
-0.1,-0.019999999999999934,6.060400599258504,11.559878876102793
-0.1,-0.01499999999999993,6.060461874729192,11.557429347228116
-0.1,-0.009999999999999926,6.060527274629139,11.554977754846176
-0.1,-0.004999999999999921,6.060596798824847,11.552524098860559
-0.1,8.326672684688674e-17,6.060670447174381,11.550068379179038
-0.1,0.005000000000000088,6.060748219527385,11.547610595713593
-0.1,0.010000000000000092,6.0608301157251,11.545150748380433
-0.1,0.015000000000000097,6.060916135600365,11.542688837099991
-0.1,0.0200000000000001,6.061006278977608,11.540224861796881
-0.1,0.025000000000000105,6.061100545672851,11.537758822399969
-0.1,0.03000000000000011,6.061198935493696,11.535290718842301
-0.1,0.035000000000000114,6.0613014482393766,11.532820551061178
-0.1,0.04000000000000012,6.061408083700705,11.530348318998083
-0.1,0.04500000000000012,6.061518841660082,11.527874022598741
-0.1,0.05000000000000013,6.061633721891539,11.525397661813102
-0.1,0.05500000000000013,6.061752724160712,11.522919236595289
-0.1,0.06000000000000014,6.0618758482248225,11.520438746903713
-0.1,0.06500000000000014,6.0620030938327325,11.51795619270095
-0.1,0.07000000000000015,6.062134460724902,11.515471573953816
