epoch,train_loss,train_mse,train_l05,train_rel_err
500,45.110130310058594,45.0893440246582,0.020784558728337288,1.6416518688201904
1000,36.04088592529297,36.02009963989258,0.020784391090273857,1.4675612449645996
1500,28.617042541503906,28.59625816345215,0.02078411355614662,1.3259552717208862
2000,22.346771240234375,22.325986862182617,0.020783722400665283,1.2005417346954346
2500,17.09322166442871,17.072439193725586,0.02078321948647499,1.0821980237960815
3000,12.857736587524414,12.836954116821289,0.02078259363770485,0.9685177803039551
3500,9.708123207092285,9.687341690063477,0.020781850442290306,0.857269287109375
4000,7.667902946472168,7.647121906280518,0.02078099362552166,0.7559085488319397
4500,6.481807231903076,6.461027145385742,0.02078011818230152,0.6772165298461914
5000,5.745996952056885,5.725217819213867,0.020779339596629143,0.6165487170219421
5500,5.233403205871582,5.212624549865723,0.020778601989150047,0.5707413554191589
6000,4.844254016876221,4.823476314544678,0.020777804777026176,0.533301591873169
6500,4.53216028213501,4.511383533477783,0.020776942372322083,0.5010137557983398
7000,4.271109580993652,4.250333309173584,0.020776038989424706,0.47330203652381897
7500,4.04473876953125,4.023963928222656,0.020775074139237404,0.44977158308029175
8000,3.8452072143554688,3.8244330883026123,0.020774006843566895,0.4294402301311493
8500,3.669375419616699,3.6486024856567383,0.020772824063897133,0.4116600453853607
9000,3.514619827270508,3.4938483238220215,0.020771553739905357,0.39611098170280457
9500,3.3770487308502197,3.356278419494629,0.020770251750946045,0.38333940505981445
10000,3.251628875732422,3.2308599948883057,0.02076895534992218,0.3728957772254944
10500,3.1335058212280273,3.1127381324768066,0.0207676962018013,0.36355313658714294
11000,3.019162893295288,2.998396396636963,0.02076646126806736,0.3544056713581085
11500,2.9064762592315674,2.8857109546661377,0.02076524868607521,0.34514114260673523
12000,2.794229745864868,2.773465633392334,0.02076403610408306,0.3357824385166168
12500,2.6817033290863037,2.660940408706665,0.020762814208865166,0.3263891339302063
13000,2.5683748722076416,2.5476133823394775,0.020761575549840927,0.31704947352409363
13500,2.4536690711975098,2.432908773422241,0.020760301500558853,0.30774739384651184
14000,2.3371167182922363,2.3163578510284424,0.020758965983986855,0.2984074354171753
14500,2.218681812286377,2.1979241371154785,0.02075756900012493,0.28898242115974426
15000,2.098780632019043,2.078024387359619,0.020756127312779427,0.2794787883758545
15500,1.9780279397964478,1.957273244857788,0.020754648372530937,0.2699185907840729
16000,1.8569960594177246,1.836242914199829,0.020753130316734314,0.26053372025489807
16500,1.736134648323059,1.7153830528259277,0.020751597359776497,0.25143176317214966
17000,1.615738868713379,1.5949887037277222,0.02075010910630226,0.24261386692523956
17500,1.4960137605667114,1.4752650260925293,0.020748768001794815,0.23404745757579803
18000,1.3771207332611084,1.3563730716705322,0.020747648552060127,0.22572189569473267
18500,1.259412407875061,1.2386658191680908,0.020746642723679543,0.21759560704231262
19000,1.143502116203308,1.1227566003799438,0.020745549350976944,0.20952560007572174
19500,1.0300804376602173,1.0093361139297485,0.020744293928146362,0.2013203501701355
20000,0.9198470115661621,0.899104118347168,0.020742878317832947,0.19291575253009796
20500,0.8136769533157349,0.7929356694221497,0.020741308107972145,0.18496021628379822
21000,0.7127495408058167,0.6920099258422852,0.020739590749144554,0.17763662338256836
21500,0.6183604598045349,0.5976226925849915,0.020737744867801666,0.17066700756549835
22000,0.5317801237106323,0.5110443234443665,0.020735785365104675,0.16411590576171875
22500,0.45415782928466797,0.43342408537864685,0.020733732730150223,0.15796208381652832
23000,0.38633182644844055,0.36560019850730896,0.020731637254357338,0.1520436406135559
23500,0.32847458124160767,0.30774497985839844,0.02072959579527378,0.14597448706626892
24000,0.27992957830429077,0.25920188426971436,0.02072768472135067,0.1395081877708435
24500,0.24000881612300873,0.21928301453590393,0.020725803449749947,0.13292290270328522
25000,0.20772293210029602,0.18699902296066284,0.02072390913963318,0.12640784680843353
25500,0.18406181037425995,0.16333957016468048,0.020722243934869766,0.12041971832513809
26000,0.16681213676929474,0.1460912674665451,0.02072087489068508,0.11508645862340927
26500,0.1531735211610794,0.1324537992477417,0.02071971818804741,0.1101142093539238
27000,0.14201891422271729,0.12130021303892136,0.02071869559586048,0.10542880743741989
27500,0.132825568318367,0.11210780590772629,0.020717760547995567,0.10106189548969269
28000,0.12525412440299988,0.1045372411608696,0.020716890692710876,0.09706844389438629
28500,0.1190020740032196,0.09828600287437439,0.020716072991490364,0.09345448762178421
29000,0.11380128562450409,0.09308598935604095,0.020715294405817986,0.09023828059434891
29500,0.10943824052810669,0.08872368186712265,0.02071456052362919,0.0874328762292862
30000,0.10574916005134583,0.0850353091955185,0.02071385271847248,0.08493960648775101
30500,0.10259294509887695,0.08187980204820633,0.020713139325380325,0.08266493678092957
31000,0.09984221309423447,0.07912981510162354,0.020712396129965782,0.08058536797761917
31500,0.09739065170288086,0.0766790583729744,0.020711593329906464,0.07866223156452179
32000,0.09515272080898285,0.07444200664758682,0.020710714161396027,0.0768972858786583
32500,0.09307026118040085,0.07236050069332123,0.02070976048707962,0.07525402307510376
33000,0.09110353887081146,0.07039480656385422,0.020708734169602394,0.07372146844863892
33500,0.08922946453094482,0.06852182000875473,0.020707648247480392,0.07227161526679993
34000,0.08743366599082947,0.0667271539568901,0.020706510171294212,0.07090428471565247
34500,0.08570897579193115,0.0650036409497261,0.020705338567495346,0.06961917132139206
35000,0.08405137807130814,0.063347227871418,0.020704150199890137,0.06838793307542801
35500,0.08245689421892166,0.06175392493605614,0.020702969282865524,0.06722283363342285
36000,0.08092444390058517,0.06022262945771217,0.020701812580227852,0.06609184294939041
