layers,units,total_neurons,mse,complexity,expr0,expr1,expr2
2,"[6, 3]",9,0.0030513175297528505,267.0,0.00177*x_1**6.0/x_0**6.0 + 0.0041*x_1**5.0/x_0**5.0 - 0.00277*x_1**6.0/x_0**5.0 - 0.04326*x_1**4.0/x_0**4.0 - 0.00283*x_1**5.0/x_0**4.0 - 0.23051*x_1**3.0/x_0**3.0 + 0.01373*x_1**4.0/x_0**3.0 - 0.17433*x_1**2.0/x_0**2.0 - 0.02471*x_1**3.0/x_0**2.0 + 0.22894*x_1/x_0**1.0 - 0.11057*x_1**2.0/x_0**1.0 - 0.00238*x_1**3.0/x_0**1.0 - 0.11092*x_0/x_1**1.0 + 0.00962*x_0*x_1 - 0.02906*x_0 + 0.00699*x_0**2.0/x_1**2.0 - 0.24874*x_1 + 0.0178*x_1**2.0 + 0.00184*x_1**3.0 + 0.67813,-0.00123*x_1**7.0/x_0**7.0 - 0.00375*x_1**6.0/x_0**6.0 - 0.00196*x_1**5.0/x_0**5.0 - 0.00505*x_1**6.0/x_0**5.0 - 0.03104*x_1**4.0/x_0**4.0 - 0.0068*x_1**5.0/x_0**4.0 - 0.17642*x_1**3.0/x_0**3.0 + 0.0172*x_1**4.0/x_0**3.0 + 0.04433*x_1**2.0/x_0**2.0 - 0.03988*x_1**3.0/x_0**2.0 + 0.6149*x_1/x_0**1.0 - 0.17159*x_1**2.0/x_0**1.0 - 0.00291*x_1**3.0/x_0**1.0 - 0.08093*x_0/x_1**1.0 + 0.01304*x_0*x_1 - 0.06239*x_0 + 0.00675*x_0**2.0/x_1**2.0 - 0.31658*x_1 + 0.02732*x_1**2.0 + 0.00267*x_1**3.0 + 0.14531,-0.00197*x_1**6.0/x_0**6.0 - 0.00107*x_1**7.0/x_0**6.0 + 0.00216*x_1**5.0/x_0**5.0 - 0.00782*x_1**6.0/x_0**5.0 - 0.07424*x_1**4.0/x_0**4.0 - 0.00961*x_1**5.0/x_0**4.0 - 0.40677*x_1**3.0/x_0**3.0 + 0.03095*x_1**4.0/x_0**3.0 - 0.1297*x_1**2.0/x_0**2.0 - 0.06456*x_1**3.0/x_0**2.0 - 0.00175*x_1**4.0/x_0**2.0 + 0.84418*x_1/x_0**1.0 - 0.28213*x_1**2.0/x_0**1.0 - 0.00528*x_1**3.0/x_0**1.0 + 0.00118*x_1**4.0/x_0**1.0 - 0.19189*x_0/x_1**1.0 + 0.02268*x_0*x_1 - 0.00119*x_0*x_1**2.0 - 0.09146*x_0 + 0.01374*x_0**2.0/x_1**2.0 - 0.56534*x_1 + 0.0451*x_1**2.0 + 0.0045*x_1**3.0 + 0.82415
2,"[3, 6]",9,0.0033593494445085526,141.0,0.01678*x_1**4.0/x_0**4.0 + 0.04955*x_1**3.0/x_0**3.0 - 1.01303*x_1**2.0/x_0**2.0 + 0.00362*x_1**4.0/x_0**2.0 + 0.93722*x_1/x_0**1.0 - 0.01484*x_1**3.0/x_0**1.0 - 0.09621*x_0/x_1**1.0 + 0.00228*x_0**2.0/x_1**2.0 + 0.00252*x_0**2.0 + 0.00148*x_1 + 0.0927*x_1**2.0 + 1.08332,-0.00127*x_1**4.0/x_0**4.0 + 0.04676*x_1**3.0/x_0**3.0 - 0.52335*x_1**2.0/x_0**2.0 + 0.0045*x_1**4.0/x_0**2.0 + 1.33541*x_1/x_0**1.0 - 0.00884*x_1**3.0/x_0**1.0 - 0.11138*x_0/x_1**1.0 + 0.00255*x_0**2.0/x_1**2.0 + 0.00242*x_0**2.0 + 0.00162*x_1 + 0.10128*x_1**2.0 + 1.16771,0.01492*x_1**4.0/x_0**4.0 + 0.0967*x_1**3.0/x_0**3.0 - 1.54012*x_1**2.0/x_0**2.0 + 0.00816*x_1**4.0/x_0**2.0 + 2.27113*x_1/x_0**1.0 - 0.02369*x_1**3.0/x_0**1.0 - 0.20793*x_0/x_1**1.0 + 0.00483*x_0**2.0/x_1**2.0 + 0.00497*x_0**2.0 + 0.00311*x_1 + 0.19393*x_1**2.0 - 0.00121*x_1**4.0 + 2.25491
1,[8],8,0.023176100105047226,93.0,-0.56598*x_1**2.0/x_0**2.0 + 1.45435*x_1/x_0**1.0 - 0.00299*x_1**3.0/x_0**1.0 - 0.11477*x_0/x_1**1.0 + 0.01811*x_0*x_1 + 0.00223*x_0**2.0/x_1**2.0 + 0.02375*x_1**2.0 + 1.2638,-0.7104*x_1**2.0/x_0**2.0 + 2.78402*x_1/x_0**1.0 + 0.00462*x_1**3.0/x_0**1.0 - 0.11383*x_0/x_1**1.0 + 0.01012*x_0*x_1 + 0.0026*x_0**2.0/x_1**2.0 + 0.00188*x_0**2.0 + 0.04069*x_1**2.0 + 1.01027,-1.27384*x_1**2.0/x_0**2.0 + 4.2455*x_1/x_0**1.0 + 0.00155*x_1**3.0/x_0**1.0 - 0.22744*x_0/x_1**1.0 + 0.02829*x_0*x_1 + 0.00483*x_0**2.0/x_1**2.0 + 0.00214*x_0**2.0 + 0.0644*x_1**2.0 + 2.26788
2,"[2, 3]",5,0.023566262796521187,79.0,0.00115*x_1**3.0/x_0**3.0 - 0.02104*x_1**2.0/x_0**2.0 + 0.02293*x_1/x_0**1.0 + 0.00162*x_1**3.0/x_0**1.0 - 0.04653*x_0/x_1**1.0 + 0.10147*x_1**2.0 + 1.14666,-0.03113*x_1**2.0/x_0**2.0 + 0.1292*x_1/x_0**1.0 + 0.00731*x_1**3.0/x_0**1.0 - 0.05029*x_0/x_1**1.0 + 0.09615*x_1**2.0 + 1.38142,0.00127*x_1**3.0/x_0**3.0 - 0.05215*x_1**2.0/x_0**2.0 + 0.15196*x_1/x_0**1.0 + 0.00892*x_1**3.0/x_0**1.0 - 0.09681*x_0/x_1**1.0 + 0.00163*x_0**2.0 + 0.19759*x_1**2.0 - 0.00137*x_1**4.0 + 2.52729
