epoch,train_loss,train_mse,train_l05,train_rel_err
500,384.68353271484375,384.6592712402344,0.024248644709587097,4.890166759490967
1000,233.36111450195312,233.3368682861328,0.024248428642749786,3.9369921684265137
1500,141.67648315429688,141.65223693847656,0.02424805611371994,3.1511292457580566
2000,88.47865295410156,88.45440673828125,0.024247504770755768,2.494112491607666
2500,58.7507209777832,58.72647476196289,0.024246780201792717,1.972198724746704
3000,42.9702033996582,42.94595718383789,0.02424587868154049,1.5865145921707153
3500,35.156864166259766,35.13261795043945,0.02424481511116028,1.3151253461837769
4000,31.520687103271484,31.496442794799805,0.02424364723265171,1.140249490737915
4500,29.852996826171875,29.828754425048828,0.02424251288175583,1.0405821800231934
5000,29.019289016723633,28.995046615600586,0.02424149587750435,0.9909036159515381
5500,28.51216697692871,28.487926483154297,0.02424057014286518,0.9673980474472046
6000,28.134746551513672,28.110506057739258,0.02423967607319355,0.9561817646026611
6500,27.812164306640625,27.787925720214844,0.02423875778913498,0.9509790539741516
7000,27.502910614013672,27.47867202758789,0.024237753823399544,0.947843611240387
7500,27.165037155151367,27.14080047607422,0.02423662692308426,0.9450814723968506
8000,26.754501342773438,26.730266571044922,0.02423541434109211,0.9429751038551331
8500,26.293380737304688,26.269145965576172,0.024234257638454437,0.9406334757804871
9000,25.843212127685547,25.818979263305664,0.024233179166913033,0.9372284412384033
9500,25.436614990234375,25.412382125854492,0.02423211932182312,0.9308772087097168
10000,25.069480895996094,25.045249938964844,0.02423102594912052,0.9224737882614136
10500,24.719104766845703,24.694875717163086,0.0242298636585474,0.913910984992981
11000,24.371387481689453,24.347158432006836,0.024228619411587715,0.9058771133422852
11500,24.01998519897461,23.995758056640625,0.024227291345596313,0.8980931043624878
12000,23.661996841430664,23.637771606445312,0.024225877597928047,0.8905803561210632
12500,23.29597282409668,23.271747589111328,0.02422437258064747,0.8831741213798523
13000,22.92113494873047,22.89691162109375,0.02422276698052883,0.8756694197654724
13500,22.537458419799805,22.51323699951172,0.024221055209636688,0.8679265975952148
14000,22.145793914794922,22.12157440185547,0.02421923726797104,0.8598987460136414
14500,21.747146606445312,21.722929000854492,0.024217313155531883,0.8515686988830566
15000,21.341699600219727,21.31748390197754,0.024215301498770714,0.8429043292999268
15500,20.93010711669922,20.905893325805664,0.024213217198848724,0.8338594436645508
16000,20.51352882385254,20.489316940307617,0.024211078882217407,0.824396550655365
16500,20.093978881835938,20.06977081298828,0.02420889027416706,0.8145337104797363
17000,19.67389678955078,19.649690628051758,0.024206653237342834,0.8043299317359924
17500,19.256399154663086,19.232194900512695,0.024204382672905922,0.7938746809959412
18000,18.84476089477539,18.820558547973633,0.02420210838317871,0.7831747531890869
18500,18.44241714477539,18.418216705322266,0.024199867621064186,0.7722204327583313
19000,18.05286407470703,18.02866554260254,0.024197708815336227,0.7610024809837341
19500,17.678499221801758,17.65430450439453,0.02419566735625267,0.7495354413986206
20000,17.320568084716797,17.296375274658203,0.02419375441968441,0.7378436326980591
20500,16.97882843017578,16.954635620117188,0.02419198490679264,0.7259794473648071
21000,16.65094757080078,16.62675666809082,0.024190375581383705,0.7140226364135742
21500,16.334226608276367,16.31003761291504,0.024188898503780365,0.7020843625068665
22000,16.025875091552734,16.00168800354004,0.024187512695789337,0.6902565956115723
22500,15.724336624145508,15.700150489807129,0.024186184629797935,0.6786163449287415
23000,15.428821563720703,15.40463638305664,0.024184884503483772,0.6671944856643677
23500,15.139033317565918,15.114850044250488,0.024183599278330803,0.6560252904891968
24000,14.854934692382812,14.8307523727417,0.024182315915822983,0.6451122760772705
24500,14.576476097106934,14.552294731140137,0.024181026965379715,0.634479284286499
25000,14.303339958190918,14.279160499572754,0.024179724976420403,0.6241388916969299
25500,14.035318374633789,14.011139869689941,0.024178391322493553,0.6140827536582947
26000,13.772379875183105,13.74820327758789,0.024177029728889465,0.604317307472229
26500,13.513863563537598,13.4896879196167,0.024175627157092094,0.5947892069816589
27000,13.2595796585083,13.235405921936035,0.024174144491553307,0.5854977369308472
27500,13.009300231933594,12.985127449035645,0.024172544479370117,0.5764262080192566
28000,12.762993812561035,12.738822937011719,0.024170812219381332,0.5676332116127014
28500,12.52064323425293,12.496474266052246,0.02416895516216755,0.5589927434921265
29000,12.282146453857422,12.257979393005371,0.02416699007153511,0.5505654811859131
29500,12.047490119934082,12.023324966430664,0.02416493371129036,0.5423255562782288
30000,11.816669464111328,11.792506217956543,0.02416279911994934,0.5342167019844055
30500,11.589725494384766,11.56556510925293,0.02416059747338295,0.5262681245803833
31000,11.366565704345703,11.3424072265625,0.024158325046300888,0.5184951424598694
31500,11.147199630737305,11.12304401397705,0.024155985563993454,0.5108398795127869
32000,10.931599617004395,10.907445907592773,0.0241535697132349,0.5033378601074219
32500,10.719748497009277,10.695597648620605,0.02415107563138008,0.49597305059432983
33000,10.511711120605469,10.48756217956543,0.024148505181074142,0.48871830105781555
33500,10.307345390319824,10.283199310302734,0.02414585091173649,0.48156100511550903
34000,10.106595993041992,10.082452774047852,0.024143105372786522,0.47446972131729126
34500,9.909405708312988,9.885265350341797,0.02414027228951454,0.46744900941848755
35000,9.715727806091309,9.691590309143066,0.024137349799275398,0.46049752831459045
35500,9.525501251220703,9.50136661529541,0.024134328588843346,0.4535938799381256
36000,9.338643074035645,9.314512252807617,0.02413122169673443,0.4467078745365143
36500,9.155046463012695,9.130918502807617,0.024128010496497154,0.43986934423446655
37000,8.974592208862305,8.950467109680176,0.024124689400196075,0.43304088711738586
37500,8.797048568725586,8.772927284240723,0.024121258407831192,0.42617568373680115
